,iso_name,gen_pw_label,station_code,distance_mi
12656,MISO,CHARAMB CHB_TR4_UNIT,KFSD,46.1168153696809
12762,MISO,CHARAMB MORAIN_2_UNIT,KFSD,46.2082507624429
9900,MISO,CJUHGRE CJUHGR_1_UNIT,KFSD,74.9189779574533
3041,MISO,CLIPR CLIPR_1_UNIT,KOMA,91.1044602447885
3010,MISO,CLIPR CLIPR_1_UNIT,KFSD,96.8847440031055
17000,MISO,COURTNAY COURTNAY,KFAR,85.4054507926753
2193,MISO,CRFRDCO CRFRDC_1_UNIT,KOMA,56.4255795615421
2156,MISO,CRFRDCO CRFRDC_1_UNIT,KDSM,93.6103865104597
15228,MISO,DANIELSN G1_UNIT,KMSP,75.228923581039
6503,MISO,DIXON_D J202,KDTW,85.8190769947458
3991,MISO,EDEN0000 MONTFORT,KMSN,52.9357478838334
16152,MISO,EDGLYTP EDGLYT_1_UNIT,KFAR,98.1444021533146
